 ,Mg,Rg,a,ad,ag,al,an,b,begin,bg,bl,c,cc,d,dg,dl,e,end,f,gb,gc,gg,gi,gm,gp,h,i,j,k,l,m,mq,n,nba,nbc,nf,ng,nhd,nhm,nis,nit,nmc,nnd,nnt,nr,nr1,nr2,nrf,nrj,ns,nsf,nt,ntc,ntcb,nto,ntu,nx,nz,o,p,pba,pbei,q,qt,qv,r,rr,ry,rys,ryt,ryv,rz,rzs,rzt,rzv,s,t,tg,u,ude1,ude2,ude3,udeng,udh,uguo,ule,ulian,uls,usuo,uyy,uzhe,uzhi,v,vd,vf,vg,vi,vl,vn,vshi,vx,vyou,w,x,xu,y,z
nx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
nz,0,6,7859,1350,886,140,470,3345,0,1,57,2141,8157,20225,69,74,55,5461,12133,105,12,20,143,88,3,4,2,85,1906,27,10139,2256,76672,7,0,1645,5306,379,15,7777,117,42,742,6770,3376,198,3,1266,85,6914,623,50,123,1,2,0,0,13952,17,9532,195,1016,1802,478,407,632,1372,124,20,17,241,2812,107,5,591,1521,4195,302,47,30560,670,144,3487,142,219,4581,57,194,354,250,206,1128,47115,414,1682,1039,10743,776,14379,2956,32,899,131546,1399,0,930,621
o,0,0,82,0,6,1,0,3,0,0,0,1,3,33,1,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,8,25,98,0,0,1,16,0,0,6,0,0,0,8,2,0,0,1,0,5,0,0,0,0,0,0,0,49,92,17,0,1,4,0,6,0,3,0,0,0,0,1,0,0,0,0,2,0,0,89,36,0,3,0,0,2,0,0,0,9,3,8,207,0,1,23,43,0,10,2,0,0,623,8,0,1,1
p,0,10,19034,3370,1280,132,1118,12789,0,5,133,300,1559,14157,36,214,13,132,13952,233,32,150,457,134,48,0,0,1014,25,66,32957,9938,169871,24,0,1858,3777,763,35,11862,170,33,1945,10919,12440,1717,16,3051,490,53402,11654,2257,1214,31,363,164,0,24684,32,7803,139,939,2281,675,327,6917,26166,1411,585,56,303,15285,4018,177,5518,17754,44618,623,12,1710,644,131,157,11,340,3067,43,0,149,4,525,320,78883,577,2419,1321,11856,1450,21138,338,4,733,24053,3309,0,109,735
pba,0,0,562,120,10,1,87,319,0,0,3,10,13,293,0,1,0,0,103,8,0,8,19,1,1,0,0,7,0,1,297,266,7535,3,0,235,103,10,3,198,0,0,25,176,266,39,1,53,10,539,72,19,17,0,1,0,0,745,0,128,0,6,95,7,1,261,2684,10,0,0,2,645,34,0,366,171,175,8,0,10,7,0,0,0,2,0,0,0,8,0,3,1,1894,5,25,33,262,51,654,0,0,22,578,79,0,0,17
pbei,0,0,881,358,46,9,34,577,0,0,7,2,6,901,1,16,0,1,101,17,5,3,40,0,0,0,1,24,3,1,538,650,8252,6,0,120,147,59,0,517,0,0,203,692,595,54,0,124,6,1153,257,57,48,0,22,2,0,2360,3,223,0,3,230,38,11,71,773,30,0,0,2,272,12,0,152,287,42,26,0,0,5,3,0,0,0,0,15,0,0,0,1,0,24671,61,348,749,1589,192,2112,0,8,2,612,61,0,0,58
q,3,0,9194,356,426,87,279,4750,0,0,27,412,2130,5743,11,29,2,2234,6816,39,17,20,101,42,11,5,0,29,85,2,5561,736,76671,7,0,1372,2164,86,11,3987,28,10,1232,5032,478,44,1,395,40,1746,371,96,172,0,13,0,0,6486,6,3180,57,342,4706,327,1441,521,231,266,2,0,44,544,14,1,103,656,902,122,25,11159,134,33,356,8,42,292,34,19,90,35,65,248,17294,196,762,807,3712,367,5529,733,32,405,74439,776,0,140,337
qt,1,0,2251,89,67,3,21,495,0,2,2,218,271,3502,4,8,2,485,7728,0,0,0,9,4,0,0,0,103,8,1,1993,337,9462,0,0,142,651,4,2,118,5,0,43,207,174,76,0,35,3,374,79,2,0,0,0,0,0,867,1,945,26,64,523,162,115,120,297,93,0,2,14,97,5,4,28,64,1812,57,6,9145,6,14,47,4,227,680,12,3,25,14,17,122,5776,53,719,465,1151,59,712,183,1,94,17864,33,0,91,43
qv,1,3,837,84,57,4,14,339,0,1,0,50,312,1190,1,1,4,608,1283,2,3,5,4,0,3,0,0,1,29,0,288,71,7811,0,0,111,254,11,0,121,0,1,16,153,58,3,0,23,1,260,26,0,0,0,0,0,0,677,4,650,3,87,265,14,107,20,44,1,0,0,2,15,0,0,8,48,189,25,3,1054,21,3,59,2,11,117,0,0,0,4,31,17,3823,54,140,257,972,87,1429,113,1,79,10448,178,0,18,16
r,0,0,1985,396,39,28,226,829,0,0,26,347,285,6444,7,26,0,33,682,16,8,10,31,32,1,0,0,21,24,6,2314,403,22309,0,0,198,195,42,2,1998,86,6,184,1454,190,38,0,57,14,469,122,15,12,0,17,0,0,1693,2,2699,98,196,231,57,36,609,447,9,0,0,20,344,19,6,35,304,2050,19,2,2335,36,20,90,1,13,8,6,7,44,11,0,18,13099,104,369,162,1938,294,5388,295,4,328,4928,172,0,9,60
